iterations;buffer size;without trace;with trace;overhead ratio;trace time;decode time
149000;256;2077.77;3921.38;88.73022519335635%;2252.6520079999996;3920.96
150000;256;2074.64;3759.32;81.20348590598853%;2246.507373;3758.96
151000;256;2103.15;4880.96;132.07854884340156%;2252.369638;4880.64
152000;256;2106.28;4304.46;104.36314260212316%;2320.58045;4304.12
153000;256;2110.88;4408.89;108.86502311832034%;2323.3322449999996;4408.51
154000;256;2136.95;4925.53;130.49346030557572%;2394.758988;4925.08
155000;256;2327.87;3808.61;63.60922216446796%;2453.859023;3808.08
156000;256;2309.29;4721.9;104.47410242975113%;2688.2802220000003;4721.38
157000;256;2318.01;4339.03;87.18771705040096%;2538.287656;4338.59
158000;256;2317.76;4944.46;113.32924893000136%;2534.251283;4944.13
159000;256;2400.78;5126.11;113.51852314664397%;2651.8031060000003;5125.21
160000;256;2411.03;34298.6;1322.5704367013266%;2888.216712;34298.1
161000;256;2358.93;5018.85;112.759598631583%;2699.547888;5017.99
162000;256;2351.81;4187.72;78.06370412575848%;2572.4168059999997;4187.4
163000;256;2304.99;11805.1;412.15406574432%;2652.6561739999997;11804.8
164000;256;2534.7;6313.12;149.06773977196514%;2700.371431;6312.68
165000;256;2452.95;4594.49;87.30467396400253%;2655.593761;4594.17
166000;256;2362.15;4896.82;107.30351586478417%;2670.3071;4896.5
167000;256;2374.82;4574.86;92.64028431628499%;2627.713097;4574.47
168000;256;2410.09;5584.81;131.72620109622463%;2647.73034;5584.5
169000;256;2454.42;4471.32;82.17420001466739%;2702.4781669999998;4470.67
170000;256;2384.14;5869.88;146.2053402904192%;2751.68811;5869.54
171000;256;2446.7;5502.25;124.88453835778806%;2759.4484169999996;5501.77
172000;256;2415.61;4863.66;101.34293201303188%;2804.773094;4863.21
173000;256;2689.76;34765.4;1192.5093688656236%;2984.055811;34765.1
174000;256;2408.13;6629.11;175.28040429711018%;2750.678753;6628.77
175000;256;2448.58;5396.32;120.38569293223009%;2680.225108;5395.99
176000;256;2433.2;14127.9;480.6304455038633%;2821.045901;14127.6
177000;256;2448.32;4939.67;101.75753169520323%;2739.224884;4939.34
178000;256;2454.18;5233.54;113.25004685882863%;2786.926681;5233.13
179000;256;2471.18;5320.99;115.32183005689589%;2863.409139;5320.64
180000;256;2595.56;4402.92;69.632757478155%;2826.826998;4402.44
181000;256;2656.4;5533.27;108.2995783767505%;2824.114893;5532.89
182000;256;2524.61;4779.59;89.3199345641505%;2845.446164;4779.26
183000;256;2551.0;5357.33;110.00901607212859%;2785.180613;5356.97
184000;256;2588.49;4419.59;70.74008398718946%;2701.4637199999997;4419.09
185000;256;2584.74;4572.2;76.89206651345978%;2565.131174;4571.85
186000;256;2626.97;4847.63;84.53313132620474%;2610.3277080000003;4847.18
187000;256;2597.48;4843.24;86.45918351633121%;2616.034026;4842.83
188000;256;2654.26;4456.59;67.90329508036137%;2612.2859089999997;4456.23
189000;256;2634.86;5372.41;103.89736077059122%;2675.136998;5371.96
190000;512;2766.84;4114.84;48.71983923898743%;2682.4024950000003;4114.38
191000;512;2645.08;5073.46;91.80743115520136%;2837.030357;5073.06
192000;512;2812.59;7242.86;157.51567060965158%;3161.631338;7242.28
193000;512;2808.27;6336.44;125.63499948366787%;2879.6347939999996;6336.04
194000;512;2708.36;5621.13;107.54737184126186%;2969.350693;5620.76
195000;512;2703.63;5086.65;88.14149865181254%;2811.013305;5086.16
196000;512;2746.39;5335.28;94.2651990431075%;2966.7264210000003;5334.9
197000;512;2725.13;5097.37;87.05052602995086%;2862.941789;5096.89
198000;512;2790.34;4887.17;75.14603955073575%;2769.109278;4886.64
199000;512;2743.91;5087.93;85.4262712698303%;2799.391731;5087.54
200000;512;2766.16;4232.78;53.020071145559186%;2860.892411;4232.36
201000;512;2813.6;4857.02;72.62652829115726%;2838.678605;4856.65
202000;512;2835.71;5240.61;84.8076848478864%;2933.813498;5240.12
203000;512;2844.39;7013.32;146.56675069171249%;2986.2030099999997;7012.96
204000;512;2863.49;5161.98;80.26883278796154%;2882.6494390000003;5161.5
205000;512;2850.85;6892.68;141.77631232790222%;3044.223141;6892.32
206000;512;2887.34;7047.23;144.07343783551642%;3047.283239;7046.84
207000;512;2873.06;6461.32;124.89331931807897%;3064.355154;6460.92
208000;512;2923.49;6226.61;112.98550704808295%;3145.0084309999997;6225.82
209000;512;2894.21;7060.13;143.93979704306184%;3162.670357;7059.71
210000;512;2902.15;5456.64;88.02060541322813%;3076.1885620000003;5456.25
211000;512;2918.75;5248.66;79.82561027837258%;3101.531356;5248.26
212000;512;2947.16;6192.01;110.10091070725719%;3159.870429;6191.65
213000;512;2959.19;6841.14;131.1828574711323%;3312.097058;6840.78
214000;512;2987.48;5065.02;69.5415534162572%;2975.915296;5064.61
215000;512;3024.36;4721.28;56.108399793675346%;3010.426674;4720.78
216000;512;3017.43;5106.94;69.24800243916181%;3070.218608;5106.54
217000;512;3009.91;6836.86;127.14499769096086%;3202.2184660000003;6836.46
218000;512;3059.02;5406.6;76.74287843819265%;3176.939008;5406.24
219000;512;3071.64;7241.12;135.74116758474298%;3265.725688;7240.7
220000;512;3089.57;7298.39;136.22672410723823%;3307.483943;7297.92
221000;512;3062.76;6202.01;102.49742062714675%;3288.3117150000003;6201.62
222000;512;3107.84;6251.48;101.15192545304774%;3318.622927;6251.08
223000;512;3119.62;6049.1;93.90502689430124%;3290.970406;6048.71
224000;512;3103.53;6579.61;112.00407278163895%;3476.165993;6579.1
225000;512;3114.73;5721.88;83.70388444584282%;3392.818264;5721.42
226000;512;3173.25;6516.05;105.34310249743955%;3411.64591;6515.59
227000;512;3181.82;7909.79;148.5932579467097%;3385.96281;7909.23
228000;512;3182.31;5501.99;72.89296140225183%;3405.673669;5501.51
229000;512;3139.67;6628.83;111.13142464016919%;3494.7978049999997;6628.46
230000;512;3172.95;6732.25;112.1763658425125%;3516.527423;6731.73
231000;512;3171.65;5817.76;83.43007582803904%;3470.162404;5817.33
